Site,site_id,Prmnn_I,GNIS_ID,GNIS_Nm,ReachCd,FType,FCode,Lat,Long
201,nhd_11929068,11929068,623429,Clear Lake,4.02E+12,390,39004,46.83711944,-88.8722016
202,nhd_11929070,11929070,634872,Pike Lake,4.02E+12,390,39004,46.83433189,-88.84426205
203,nhd_11929176,11929176,1621317,Prickett Lake,4.02E+12,390,39004,46.70447078,-88.68435498
204,nhd_11929360,11929360,621329,Big Lake,4.02E+12,390,39004,46.61314833,-88.57619622
205,nhd_11929452,11929452,1619674,Davis Lake,4.02E+12,390,39004,46.57396077,-88.76843136
206,nhd_11929458,11929458,634365,Parent Lake,4.02E+12,390,39004,46.57341999,-88.43754761
207,nhd_11929476,11929476,629068,Irish Lake,4.02E+12,390,39004,46.56607933,-88.76000644
208,nhd_11929488,11929488,625650,Estes Lake,4.02E+12,390,39004,46.55882201,-88.75491975
209,nhd_11929564,11929564,1621206,Pequet Lake,4.02E+12,390,39004,46.52818123,-88.6849089
210,nhd_11929570,11929570,629699,King Lake,4.02E+12,390,39004,46.51955271,-88.40878744
211,nhd_11929604,11929604,1619843,Elginor Lake,4.02E+12,390,39004,46.51012637,-88.72985026
212,nhd_11931386,11931386,1622568,Nesbit Lake,4.02E+12,390,39004,46.41584005,-88.69229303
213,nhd_11931388,11931388,1622567,Norway Lake,4.02E+12,390,39004,46.41418902,-88.68585365
214,nhd_11931444,11931444,1620722,Marten Lake,4.02E+12,390,39004,46.39309544,-88.69468959
215,nhd_11931532,11931532,634641,Perch Lake,4.02E+12,390,39009,46.36197197,-88.66182704
216,nhd_11936879,11936879,1623739,Lake Perrault,4.02E+12,390,39004,47.02997804,-88.73376934
217,nhd_11938451,11938451,627649,Hall Lake,4.02E+12,390,39004,46.99500378,-88.75913428
218,nhd_11938465,11938465,1614926,Toivola Lakes,4.02E+12,390,39004,46.98713549,-88.8007479
219,nhd_11938479,11938479,638888,Stonington Lake,4.02E+12,390,39004,46.96279495,-88.78666886
220,nhd_11938505,11938505,626747,Lake Gerald,4.02E+12,390,39004,46.89861361,-88.82824903
221,nhd_11938507,11938507,636130,Lake Roland,4.02E+12,390,39004,46.88816085,-88.85131587
222,nhd_11938579,11938579,1621628,Sixmile Lake,4.02E+12,390,39004,46.76265351,-88.93231916
223,nhd_11938597,11938597,1619597,Courtney Lake,4.02E+12,390,39004,46.75329207,-88.93746987
224,nhd_11938607,11938607,1621816,Sudden Lake,4.02E+12,390,39004,46.7418211,-88.90297252
225,nhd_11945471,11945471,1619266,Bob Lake,4.02E+12,390,39004,46.66541659,-88.90891525
226,nhd_11945533,11945533,1619827,Echo Lake,4.02E+12,390,39004,46.61182247,-88.84842186
227,nhd_11945561,11945561,1620709,Markey Lake,4.02E+12,390,39004,46.57329113,-88.7826951
228,nhd_11945669,11945669,624180,Crystal Lake,4.02E+12,390,39004,46.50243011,-88.76241843
229,nhd_11947355,11947355,1621894,Lake Thirteen,4.02E+12,390,39004,46.46717046,-88.75238093
230,nhd_11947367,11947367,1620104,Hager Lake,4.02E+12,390,39004,46.46570377,-88.71769522
231,nhd_11947403,11947403,1620460,Kunze Lake,4.02E+12,390,39004,46.43932185,-88.72422166
232,nhd_11947423,11947423,1618006,Three-On Lake,4.02E+12,390,39004,46.41986738,-88.79339258
233,nhd_11947443,11947443,626898,Glitter Lake,4.02E+12,390,39004,46.41228255,-88.77475807
234,nhd_11947509,11947509,,,4.02E+12,390,39004,46.38464248,-88.87761195
235,nhd_11947513,11947513,1620511,Lewis Lake,4.02E+12,390,39004,46.38559903,-88.90161561
236,nhd_11947535,11947535,1619157,Bela Lake,4.02E+12,390,39004,46.3769189,-88.93338046
237,nhd_11947551,11947551,1620781,McPherson Lake,4.02E+12,390,39004,46.37332408,-88.95592106
238,nhd_11947567,11947567,1619527,Clear Lake,4.02E+12,390,39004,46.36935115,-88.95091112
239,nhd_11947647,11947647,1618010,Webb Lake,4.02E+12,390,39004,46.35454934,-88.72112201
240,nhd_11947877,11947877,1619859,Englesby Lake,4.02E+12,390,39004,46.27457212,-88.99611979
241,nhd_11947925,11947925,1621862,Tamarack Lake,4.02E+12,390,39004,46.23992339,-88.99198907
242,nhd_11949273,11949273,1619279,Bond Falls Flowage,4.02E+12,390,39009,46.3935659,-89.10246966
243,nhd_11949383,11949383,1621827,Sun Dance Lake,4.02E+12,390,39004,46.35818366,-89.6454284
244,nhd_11949453,11949453,1620535,Little Beatons Lake,4.02E+12,390,39004,46.33734753,-89.37247884
245,nhd_11949459,11949459,1619135,Beatons Lake,4.02E+12,390,39004,46.32799596,-89.36316609
246,nhd_11949477,11949477,1619596,County Line Lake,4.02E+12,390,39004,46.33313951,-89.2747014
247,nhd_11949485,11949485,1619685,Deadman Lake,4.02E+12,390,39004,46.33441771,-89.12321853
248,nhd_11949497,11949497,1620140,Hartley Lake,4.02E+12,390,39004,46.32379221,-89.39202412
249,nhd_11949511,11949511,1623168,Crane Lake,4.02E+12,390,39004,46.32116795,-89.30249359
250,nhd_11949533,11949533,1619351,Buck Lake,4.02E+12,390,39004,46.32026954,-89.10928002
251,nhd_11949543,11949543,1621815,Sucker Lake,4.02E+12,390,39004,46.30592898,-89.25034085
252,nhd_11949551,11949551,1619451,Castle Lake,4.02E+12,390,39004,46.31475693,-89.07481079
253,nhd_11949567,11949567,634639,Perch Lake,4.02E+12,390,39004,46.3099236,-89.10537625
254,nhd_11949581,11949581,1619102,Bass Lake,4.02E+12,390,39004,46.30449785,-89.17519036
255,nhd_11949593,11949593,1620654,Wolf Lake,4.02E+12,390,39004,46.29781924,-89.28730305
256,nhd_11949625,11949625,629408,Joyce Lake,4.02E+12,390,39004,46.29466373,-89.26977839
257,nhd_11949661,11949661,1620489,Langford Lake,4.02E+12,390,39004,46.27473755,-89.4794203
258,nhd_11949707,11949707,1619659,Damon Lake,4.02E+12,390,39004,46.26806597,-89.37645002
259,nhd_11949709,11949709,623839,Cornelia Lake,4.02E+12,390,39004,46.26720637,-89.50235351
260,nhd_11949743,11949743,1620708,Marion Lake,4.02E+12,390,39004,46.26310696,-89.08940594
261,nhd_11949753,11949753,1619531,Clearwater Lake,4.02E+12,390,39004,46.25609655,-89.41132783
262,nhd_11949775,11949775,1619537,Cloverleaf Lake,4.02E+12,390,39004,46.25445537,-89.45739093
263,nhd_11949785,11949785,1621721,Spider Lake,4.02E+12,390,39004,46.25439119,-89.46633755
264,nhd_11949787,11949787,1621291,Porcupine Lake,4.02E+12,390,39004,46.25780653,-89.23985291
265,nhd_11949795,11949795,1620804,Michigan Bay,4.02E+12,390,39009,46.21765009,-89.4209487
266,nhd_11949799,11949799,1620864,Misty Lake,4.02E+12,390,39004,46.25264584,-89.48140327
267,nhd_11949825,11949825,1623173,Doyle Lake,4.02E+12,390,39004,46.25310438,-89.28722806
268,nhd_11949829,11949829,1620251,Horseshoe Lake,4.02E+12,390,39004,46.25347346,-89.06643923
269,nhd_11949831,11949831,1619172,Bergner Lake,4.02E+12,390,39004,46.24624778,-89.51171469
270,nhd_11949833,11949833,1620050,Grace Lake,4.02E+12,390,39004,46.24738526,-89.46357636
271,nhd_11949843,11949843,1619116,Bay Lake,4.02E+12,390,39004,46.2422897,-89.49544206
272,nhd_11949845,11949845,1621661,Snap Jack Lake,4.02E+12,390,39004,46.24857817,-89.35681105
273,nhd_11949849,11949849,1620568,Little Mosquito Lake,4.02E+12,390,39004,46.24593935,-89.47048475
274,nhd_11949851,11949851,1621542,Schneider Lake,4.02E+12,390,39004,46.24995913,-89.13495351
275,nhd_11949857,11949857,1620164,Helen Lake,4.02E+12,390,39004,46.24521525,-89.34097953
276,nhd_11949875,11949875,1619852,Emeline Lake,4.02E+12,390,39004,46.2401823,-89.480369
277,nhd_11949893,11949893,1620612,Long Lake,4.02E+12,390,39004,46.24148996,-89.3695068
278,nhd_11949911,11949911,1622089,West Bear Lake,4.02E+12,390,39004,46.24255267,-89.26337035
279,nhd_11949917,11949917,1619796,East Bear Lake,4.02E+12,390,39004,46.24185419,-89.25192239
